Timestamp	Call	MHz	SNR	Drift	Grid	Pwr	Reporter	RGrid	km	az	GLat	GLong	RLat	RLong
2017-12-13T11:38:00Z	ZS6GL	7.040096	+2	-1	KG33xv	0.2	ZS6HAK	KG43av	8	90	-26.125	27.916666666666668	-26.125	28.0
2017-12-13T11:40:00Z	ZS6GOO	7.040030	-4	-1	KG33xw	0.2	ZS6HAK	KG43av	10	119	-26.083333333333332	27.916666666666668	-26.125	28.0
2017-12-13T11:46:00Z	ZS1OA	7.040005	-17	-3	JF95fx	5	ZS6HAK	KG43av	1274	49	-34.041666666666664	18.416666666666668	-26.125	28.0
2017-12-13T11:48:00Z	ZS6BZM	7.040042	-27	-1	KG43cw	0.2	ZS6HAK	KG43av	17	254	-26.083333333333332	28.166666666666668	-26.125	28.0
2017-12-13T11:48:00Z	ZS6KEN	7.040031	-25	-1	KG44df	0.1	ZS6HAK	KG43av	45	214	-25.791666666666668	28.25	-26.125	28.0
2017-12-13T11:50:00Z	ZS6GOO	7.040031	0	-1	KG33xw	0.2	ZS6HAK	KG43av	10	119	-26.083333333333332	27.916666666666668	-26.125	28.0
2017-12-13T11:54:00Z	ZS6GL	7.040100	+3	-1	KG33xv	0.2	ZS6HAK	KG43av	8	90	-26.125	27.916666666666668	-26.125	28.0
2017-12-13T12:00:00Z	ZS6GOO	7.040030	-8	-1	KG33xw	0.2	ZS6HAK	KG43av	10	119	-26.083333333333332	27.916666666666668	-26.125	28.0
2017-12-13T12:02:00Z	ZS4BFN	7.040038	-12	-1	KG30bv	0.2	ZS6HAK	KG43av	383	30	-29.125	26.083333333333332	-26.125	28.0
2017-12-13T12:04:00Z	ZS6GC	7.040062	-12	-1	KG43ol	0.2	ZS6HAK	KG43av	125	291	-26.541666666666668	29.166666666666668	-26.125	28.0
2017-12-13T12:06:00Z	ZS6GL	7.040090	-1	0	KG33xv	0.2	ZS6HAK	KG43av	8	90	-26.125	27.916666666666668	-26.125	28.0
2017-12-13T12:06:00Z	ZS1OA	7.039997	-15	0	JF95fx	5	ZS6HAK	KG43av	1274	49	-34.041666666666664	18.416666666666668	-26.125	28.0
2017-12-13T12:20:00Z	ZS6GOO	7.040037	-14	-2	KG33xw	0.2	ZS6HAK	KG43av	10	119	-26.083333333333332	27.916666666666668	-26.125	28.0
2017-12-13T12:22:00Z	ZS6GL	7.040097	-16	-2	KG33xv	0.2	ZS6HAK	KG43av	8	90	-26.125	27.916666666666668	-26.125	28.0
2017-12-13T12:32:00Z	ZS4BFN	7.040045	-25	-1	KG30bv	0.2	ZS6HAK	KG43av	383	30	-29.125	26.083333333333332	-26.125	28.0
2017-12-13T12:38:00Z	ZS6GL	7.040094	-16	0	KG33xv	0.2	ZS6HAK	KG43av	8	90	-26.125	27.916666666666668	-26.125	28.0
2017-12-13T12:46:00Z	ZS1OA	7.040001	-16	-2	JF95fx	5	ZS6HAK	KG43av	1274	49	-34.041666666666664	18.416666666666668	-26.125	28.0
2017-12-13T12:54:00Z	ZS6GL	7.040098	-16	-2	KG33xv	0.2	ZS6HAK	KG43av	8	90	-26.125	27.916666666666668	-26.125	28.0
2017-12-13T13:06:00Z	ZS6GL	7.040095	-17	0	KG33xv	0.2	ZS6HAK	KG43av	8	90	-26.125	27.916666666666668	-26.125	28.0
2017-12-13T13:20:00Z	ZS6GOO	7.040038	-15	-1	KG33xw	0.2	ZS6HAK	KG43av	10	119	-26.083333333333332	27.916666666666668	-26.125	28.0
2017-12-13T13:22:00Z	ZS6GL	7.040098	-15	-2	KG33xv	0.2	ZS6HAK	KG43av	8	90	-26.125	27.916666666666668	-26.125	28.0
2017-12-13T13:26:00Z	ZS1OA	7.040001	-12	-1	JF95fx	5	ZS6HAK	KG43av	1274	49	-34.041666666666664	18.416666666666668	-26.125	28.0
2017-12-13T13:38:00Z	ZS6GL	7.040093	-16	0	KG33xv	0.2	ZS6HAK	KG43av	8	90	-26.125	27.916666666666668	-26.125	28.0
2017-12-13T13:54:00Z	ZS6GL	7.040098	-17	-2	KG33xv	0.2	ZS6HAK	KG43av	8	90	-26.125	27.916666666666668	-26.125	28.0
2017-12-13T14:00:00Z	ZS6GOO	7.040029	-15	0	KG33xw	0.2	ZS6HAK	KG43av	10	119	-26.083333333333332	27.916666666666668	-26.125	28.0
2017-12-13T14:06:00Z	ZS6GL	7.040091	-22	0	KG33xv	0.2	ZS6HAK	KG43av	8	90	-26.125	27.916666666666668	-26.125	28.0
2017-12-13T14:20:00Z	ZS6GOO	7.040037	-19	-1	KG33xw	0.2	ZS6HAK	KG43av	10	119	-26.083333333333332	27.916666666666668	-26.125	28.0
